siteid,sitename,plotid,easting,northing,taxonid,scientific,indviduali,pointid,individual,individu_1,dbh,dbhheight,basalcanop,basalcan_1,maxcanopyd,canopydiam,stemheight,stemremark,stemstatus,canopyform,livingcano,inplotcano,materialsa,dbhqf,stemmapqf
SJER,San Joaquin,SJER128,257085.700000000011642,4111381.500000000000000,PISA2,Pinus sabiniana,"1485",center,9.699999999999999,135.599999999999994,67.400000000000006,130.000000000000000,"0",0.000000000000000,15.100000000000000,12.400000000000000,18.199999999999999,,,,"100","100",,"0","0"
SJER,San Joaquin,SJER2796,256047.700000000011642,4111548.500000000000000,ARVI4,Arctostaphylos viscida,"1622",NE,5.800000000000000,31.399999999999999,,130.000000000000000,"43",31.000000000000000,5.700000000000000,4.800000000000000,3.300000000000000,3 stems,,Hemisphere,"70","100",f095,"0","0"
SJER,San Joaquin,SJER112,257421.399999999994179,4111308.200000000186265,ARVI4,Arctostaphylos viscida,"1511",center,17.199999999999999,57.100000000000001,,130.000000000000000,"22",12.000000000000000,2.500000000000000,2.100000000000000,2.100000000000000,6 stems,,Sphere,"70","100",f035,"0","0"
SJER,San Joaquin,SJER112,257406.200000000011642,4111284.000000000000000,ARVI4,Arctostaphylos viscida,"1507",center,15.100000000000000,183.000000000000000,,130.000000000000000,"105",43.000000000000000,8.500000000000000,6.100000000000000,3.100000000000000,"3 stems; old growth",,Hemisphere,"85","100",f034,"0","0"
SJER,San Joaquin,SJER2796,256052.000000000000000,4111530.000000000000000,ARVI4,Arctostaphylos viscida,"1620",SE,10.500000000000000,52.600000000000001,18.600000000000001,1.000000000000000,"0",0.000000000000000,6.500000000000000,5.200000000000000,3.800000000000000,,,Hemisphere,"85","100",f093,"0","0"
SJER,San Joaquin,SJER112,257398.700000000011642,4111285.500000000000000,ARVI4,Arctostaphylos viscida,"1506",center,15.900000000000000,211.300000000000011,,130.000000000000000,"495",126.000000000000000,7.500000000000000,6.900000000000000,3.100000000000000,basal area crazy bc stems spread along ground and root away from main basal before branching aerially. main basal 55x90cm,,Hemisphere,"55","100",f033,"0","0"
SJER,San Joaquin,SJER1068,255857.600000000005821,4111576.500000000000000,CECU,Ceanothus cuneatus,"1639",center,10.000000000000000,31.199999999999999,,130.000000000000000,"152",138.000000000000000,6.600000000000000,4.500000000000000,3.200000000000000,11 stems. crazy old cecu where stems collapsed and sprouted along ground,,Hemisphere,"60","100",,"0","0"
SJER,San Joaquin,SJER916,257455.299999999988358,4109618.200000000186265,CECU,Ceanothus cuneatus,"1560",center,5.400000000000000,285.899999999999977,6.200000000000000,0.000000000000000,"0",0.000000000000000,1.300000000000000,1.000000000000000,1.200000000000000,,,Cone,"90","100",f005,"1","0"
SJER,San Joaquin,SJER1068,255862.000000000000000,4111575.200000000186265,CECU,Ceanothus cuneatus,"1638",NE,2.600000000000000,194.500000000000000,9.300000000000001,1.000000000000000,"0",0.000000000000000,2.200000000000000,2.200000000000000,2.100000000000000,,,Cone,"100","100",f078,"0","0"
SJER,San Joaquin,SJER128,257072.299999999988358,4111389.000000000000000,CECU,Ceanothus cuneatus,"1492",center,6.600000000000000,273.699999999999989,5.000000000000000,2.000000000000000,"0",0.000000000000000,0.800000000000000,0.800000000000000,1.000000000000000,,grazed,Cone,"90","100",,"0","0"
SJER,San Joaquin,SJER128,257086.899999999994179,4111390.000000000000000,CECU,Ceanothus cuneatus,"1486",center,8.199999999999999,79.400000000000006,,130.000000000000000,"43",37.000000000000000,5.800000000000000,5.100000000000000,3.400000000000000,8 stems,,Sphere,"60","100",,"0","0"
SJER,San Joaquin,SJER1068,255862.500000000000000,4111572.500000000000000,CECU,Ceanothus cuneatus,"1637",NE,5.100000000000000,181.699999999999989,,130.000000000000000,"12",12.000000000000000,1.500000000000000,1.500000000000000,1.700000000000000,5 stems,,Cone,"100","100",,"0","0"
SJER,San Joaquin,SJER916,257466.799999999988358,4109614.200000000186265,CECU,Ceanothus cuneatus,"1556",center,6.800000000000000,111.700000000000003,,130.000000000000000,"102",48.000000000000000,5.900000000000000,4.200000000000000,2.800000000000000,6 stems,,Hemisphere,"90","100",f001,"0","0"
SJER,San Joaquin,SJER916,257458.899999999994179,4109617.200000000186265,CECU,Ceanothus cuneatus,"1559",center,1.700000000000000,290.899999999999977,3.100000000000000,0.000000000000000,"0",0.000000000000000,0.600000000000000,0.600000000000000,0.600000000000000,,,Cone,"100","100",,"1","0"
SJER,San Joaquin,SJER916,257468.700000000011642,4109626.000000000000000,CECU,Ceanothus cuneatus,"1558",center,12.400000000000000,41.399999999999999,,130.000000000000000,"53",53.000000000000000,5.600000000000000,3.200000000000000,1.000000000000000,9 stems,long dead,Hemisphere,"0","100",,"0","0"
SJER,San Joaquin,SJER128,257087.899999999994179,4111391.000000000000000,CECU,Ceanothus cuneatus,"1487",center,9.400000000000000,75.000000000000000,,130.000000000000000,"48",31.000000000000000,6.500000000000000,4.600000000000000,3.600000000000000,6 stems,dead,Hemisphere,"0","100",,"0","0"
SJER,San Joaquin,SJER1068,255858.000000000000000,4111579.799999999813735,CECU,Ceanothus cuneatus,"1646",NE,5.100000000000000,294.199999999999989,,130.000000000000000,"67",45.000000000000000,4.200000000000000,3.900000000000000,2.900000000000000,6 stems,,Sphere,"100","100",f079,"0","0"
SJER,San Joaquin,SJER916,257466.799999999988358,4109624.200000000186265,CECU,Ceanothus cuneatus,"1557",center,9.800000000000001,40.299999999999997,3.400000000000000,0.000000000000000,"0",0.000000000000000,1.100000000000000,0.900000000000000,1.000000000000000,,,Cone,"100","100",f002,"1","0"
